강남구,2645324,11680
서초구,1368008,11650
영등포구,801965,11560
관악구,721101,11620
도봉구,644091,11320
강북구,593257,11305
광진구,584151,11215
중구,570265,11140
종로구,566923,11110
송파구,563905,11710
금천구,542211,11545
동대문구,486322,11230
성북구,463343,11290
노원구,436980,11350
은평구,404665,11380
강서구,404432,11500
용산구,402794,11170
성동구,399265,11200
중랑구,345185,11260
강동구,329917,11740
마포구,310170,11440
구로구,233909,11530
양천구,197790,11470
서대문구,186457,11410
동작구,134842,11590
