KR11680,81,549898,42,467,100,40850,67,100,2645324,79,107,100,293,100,5268
KR11740,67,457042,61,683,57,23278,68,12,329917,51,69,22,64,52,2746
KR11305,47,316750,13,143,47,19346,77,22,593257,43,59,20,60,33,1725
KR11500,87,595703,69,770,64,26088,73,15,404432,66,90,38,110,42,2204
KR11620,76,516662,100,1114,72,29355,65,27,721101,27,37,32,95,40,2107
KR11215,54,365990,37,415,64,26060,64,22,584151,33,45,21,62,47,2486
KR11530,64,438308,49,544,64,26106,65,9,233909,60,81,35,103,39,2032
KR11545,37,251370,30,334,44,17826,74,20,542211,22,30,26,76,34,1780
KR11350,79,535495,0,3,57,23201,66,17,436980,54,74,32,93,44,2314
KR11320,49,333495,0,4,31,12474,73,24,644091,31,42,12,35,33,1740
KR11230,53,362793,8,89,53,21525,74,18,486322,30,41,22,63,47,2459
KR11590,60,407802,56,620,43,17600,64,5,134842,42,57,23,67,55,2872
KR11440,57,386086,19,210,68,27917,63,12,310170,33,45,40,118,62,3248
KR11410,48,325875,10,108,44,17803,68,7,186457,32,43,12,35,47,2483
KR11650,64,434801,90,1007,62,25425,65,52,1368008,51,69,52,152,82,4341
KR11200,45,307193,6,64,37,15190,68,15,399265,33,45,21,61,71,3741
KR11290,67,454532,7,75,46,18980,70,18,463343,43,59,21,62,44,2308
KR11710,100,680883,27,306,79,32255,62,21,563905,100,136,55,161,71,3750
KR11470,68,460532,80,895,51,20679,65,7,197790,60,81,22,64,47,2458
KR11560,59,404766,25,276,78,32001,64,30,801965,54,74,39,114,57,2982
KR11170,36,246165,6,65,47,19227,68,15,402794,20,27,25,73,75,3963
KR11380,71,482509,22,246,54,22150,72,15,404665,40,55,26,77,39,2051
KR11110,24,161984,2,24,54,21932,99,21,566923,15,20,16,48,47,2493
KR11140,20,136469,1,12,56,22983,64,22,570265,18,24,10,30,60,3157
KR11260,59,400678,7,79,60,24446,70,13,345185,48,65,25,74,35,1850
