1,5268,KR11680
2,4341,KR11650
3,3963,KR11170
4,3750,KR11710
5,3741,KR11200
6,3248,KR11440
7,3157,KR11140
8,2982,KR11560
9,2872,KR11590
10,2746,KR11740
11,2493,KR11110
12,2486,KR11215
13,2483,KR11410
14,2459,KR11230
15,2458,KR11470
16,2314,KR11350
17,2308,KR11290
18,2204,KR11500
19,2107,KR11620
20,2051,KR11380
21,2032,KR11530
22,1850,KR11260
23,1780,KR11545
24,1740,KR11320
25,1725,KR11305
