KR11650,1007,335,229471,2039627,2269098
KR11620,1114,547,328400,331966,660366
KR11470,895,392,239067,339729,578796
KR11710,306,132,79467,293472,372938
KR11410,108,66,41967,237227,279193
KR11680,467,234,149133,95771,244905
KR11500,770,349,211600,20939,232540
KR11590,620,307,186067,22222,208289
KR11170,65,30,19600,180251,199851
KR11740,683,310,186933,4371,191304
KR11290,75,36,23267,162357,185623
KR11530,544,245,146867,0,146867
KR11380,246,175,127700,0,127700
KR11215,415,167,100467,26750,127216
KR11560,276,139,83400,20000,103400
KR11545,334,170,102067,0,102067
KR11305,143,59,39500,54350,93850
KR11440,210,99,59433,0,59433
KR11350,3,10,8433,36903,45336
KR11320,4,28,25067,12838,37905
KR11200,64,37,22633,14967,37601
KR11260,79,36,21667,10530,32197
KR11230,89,45,27800,0,27800
KR11110,24,10,6067,5871,11938
KR11140,12,5,3000,0,3000
